Class,Element,Shape,QNT,Value,Condition,Treatment,Fabrication
,Fe,,μ0Ms,2.1 T,,,
Fe67Co33,,,μ0Ms,2.35 T,,,
,,soft‐magnetic phases,decrease in coercivity,0.5 T,,,
Nd‐Fe‐B sintered magnets,,,μ0Mr,1.5 T,,,
,,anisotropic [Nd2Fe14B/Ta/Fe67Co33/Ta]n nanocomposite multilayer films,coercivity,1.38 T,,,
,,nanocomposite films,magnetic polarization μ0Mr,1.61 T,,,
,,nanocomposite films,(BH)max,486 kJ m−3,,,
,,,higher saturation magnetization μ0Ms,2.35 T,,,
,,thin films with N = 0,coercivity μ0Hc,≈ 3 T,,,
,,thin films with N = 0 N = 4,coercivity μ0Hc It,1.77 T,,,
,,thin films with N = 0 N = 9,coercivity μ0Hc It,1.38 T,,,
Nd‐Fe‐B sintered magnets,,,μ0Hc,≈ 1.2 T,,,
,,N = 19,coercivity,0.9 T,,,
,,N = 0,remanence,1.15 T,,,
,,N = 4,remanence,1.25 T,,,
,,thin film N = 9,remanence maximum value,1.61 ± 0.05 T,,,
,,N = 14,μ0Mr,1.54 T,,,
,,N = 19,μ0Mr,1.4 T,,,
,,N = 0,(BH)max,255 kJ m−3,,,
,,N = 4,(BH)max,311 kJ m−3,,,
,,thin film N = 9,highest (BH)max,486 ± 15 kJ m−3 is,,,
,,N = 14,it,430 kJ m−3,,,
,,N = 19,it,326 kJ m−3,,,
,,thin film N = 9,μ0M,1.61 ± 0.05 T,,,
,,N = 9 film,(BH)max,≈480 kJ m−3,,,
,,anisotropic Nd‐Fe‐B composite films,largest (BH)max,474 kJ m−3,,,
,,film,coercivity μ0Hc,1.38 T,,,
,,(Nd0.8Ce0.2)2.4Fe12Co2B melt‐spun ribbons,intrinsic coercivity Hci,17.7 kOe,T 300 K,,
,,(Nd0.8Ce0.2)2.4Fe12Co2B melt‐spun ribbons,maximum energy product (BH)max,12.6 MGOe,T 300 K,,
hot pressed,,,Hci,13.7 kOe,T 300 K,,
hot pressed,,,(BH)max,12.8 MGOe,T 300 K,,
die upset magnets,,,Hci,9.4 kOe,T 300 K,,
die upset magnets,,,(BH)max,31 MGOe,T 300 K,,
,,5.9 wt% Dy containing {[Nd0.45(Y0.66Dy0.33)0.55]2.2Co1.5Fe12.5B}5.58 + Ti2C2 ribbon,Hci,11.8 kOe,300 K,,
,,(Nd0.8Ce0.2)2.4Fe12Co2B melt spun ribbon,value Hci,7.6 kOe,T 453 K,,
hot pressed magnets,,,value Hci,6.9 kOe,T 453 K,,
4 wt% Dy‐doped Nd2Fe14B sintered magnet,,,value Hci,5.1 kOe,T 453 K,,
pure Nd2Fe14B,,melt‐spun ribbons,intrinsic coercivity Hci,8.4 kOe,room temperature,,
(Nd1‐xCex)2Fe14B (x = 0.2),,,Hci,10 kOe,,,
pure Ce2Fe14B,,,Hci,5.4 kOe,,,
pure Ce2Fe14B,,,(BH)max,4.6 MGOe,,,
pure Ce2Fe14B,,,Br,5.3 kG,,,
"(Nd(1‐x)+zCex)2+yFe12Co2B + 2.5% ZrC (x = 0.2, y = 0.4, z = 0.16)",,,Hci,≈ 18.9 kOe,300 K,,
"(Nd(1‐x)+zCex)2+yFe12Co2B + 2.5% ZrC (x = 0.2, y = 0.4, z = 0.16)",,,(BH)max,≈ 15 MGOe,300 K,,
"(Nd(1‐x)+zCex)2+yFe12Co2B + 2.5% ZrC (x = 0.2, y = 0.4, z = 0.16)",,,Hci,≈ 6 kOe,500 K,,
,,,,≈ 7 MGOe,500 K,,
,(1 −x) +z = 0.96 y = 0,,(BH)max,17.7 MGOe,,,
,(1 −x) +z = 0.8 y > 0,,(BH)max,15 MGOe,,,
,,5.9 wt% Dy containing {[(Nd0.45(Y0.66Dy0.33)0.55]2.2Co1.5Fe12.5B}5.58+Ti2C2 ribbon,Hci,11.7 kOe,300 K,,
,,5.9 wt% Dy containing {[(Nd0.45(Y0.66Dy0.33)0.55]2.2Co1.5Fe12.5B}5.58+Ti2C2 ribbon,(BH)max,11.3 MGOe,300 K,,
(Nd(1‐x)+zCex)2+yFe12Co2B + 2.5% ZrC,,,temperature coefficient coercivity β,≈−0.3% °C−1,,,
(Nd0.8Ce0.2)2Fe12Co2B,,,Hci,7.84 kOe,,,
(Nd0.8Ce0.2)2Fe12Co2B,,,(BH)max,14.82 MGOe,,,
(Nd0.8Ce0.2)2Fe12Co2B,,,Br,8.86 kG,,,
(Nd0.8Ce0.2)2Fe12Co2B,,,Hci,7.83,,,
(Nd0.8Ce0.2)2Fe12Co2B,,,(BH)max,15.10,,,
(Nd0.8Ce0.2)2Fe12Co2B,,,Br,8.94,,,
,,,coercivity HcJ,1510 kA m–1,,diffusion process Ta 900 °C,
,,,increase in coercivity ΔHcJ,∼420 kA m–1,,,
,,,coercivity increase,∼70 kA m–1,,annealing treatment,
,,,ΔHcJ,350 kA m–1,,Dy diffusion process,
hot-deformed Nd–Fe–B magnet,,,coercivity,1.0 T,,,
hot-deformed Nd–Fe–B magnet,,,coercivity,2.6 T,,grain boundary diffusion process Pr–Cu alloy,
,,Pr–Cu diffusion processed sample,higher coercivity μ0Hc,2.6 T,,,
,,Nd–Cu diffusion processed sample,that μ0Hc,2.3 T,,,
,,Pr–Cu diffusion processed sample,larger temperature dependence coercivity,−0.45%/°C,,,
,,Nd–Cu diffusion processed sample,larger temperature dependence coercivity,−0.40%/°C,,,
hot-deformed Nd–Fe–B magnet,,,coercivity,1.0 T,,,
hot-deformed Nd–Fe–B magnet,,,coercivity,2.6 T,,Pr–Cu eutectic diffusion process,
Pr-Cu diffusion processed magnet,,,large temperature degradation coercivity β,−0.45%/°C,,,
Nd–Cu diffusion processed magnet,,,large temperature degradation coercivity β,−0.40%/°C,,,
Nd10.9Pr3.1Fe77.4Co2.4B6.0Ga0.1Cu0.1 (at%),,,coercivity μ0Hc,1.2 T,,,
Nd10.9Pr3.1Fe77.4Co2.4B6.0Ga0.1Cu0.1 (at%),,,remanence μ0Mr,1.4 T,,,
,x = 0,melt-spun ribbons of Nd2Fe14B,intrinsic coercivity Hci,8.3,room temperature,,
,x = 0.2,(Nd0.8Ce0.2)2Fe14B,intrinsic coercivity Hci,10 kOe,room temperature,,
,x = 0.2,(Nd0.8Ce0.2)2Fe14B,maximum energy product (BH)max,11 MGOe,room temperature,,
,x = 0,melt-spun ribbons of Nd2Fe14B,maximum energy product (BH)max,13.8,room temperature,,
(Nd0.8Ce0.2)2Fe14-yCoyB,y = 2,,Hci,7.8 kOe,,,
(Nd0.8Ce0.2)2Fe14-yCoyB,y = 2,,(BH)max,16 MGOe,,,
(Nd0.8Ce0.2)2Fe12Co2B 2.5 wt.% ZrC,,,increases the Hci,15% 9 kOe,,,
(Nd0.8Ce0.2)2Fe12Co2B 2.5 wt.% ZrC,,,(BH)max,6% 17 MGOe,,,
,,20% Dy substitution (5.2 wt.%) (Nd0.8Dy0.2)10Fe84B6 melt spun ribbons,Hci,8.8 kOe,300 K,,
,,20% Dy substitution (5.2 wt.%) (Nd0.8Dy0.2)10Fe84B6 melt spun ribbons,(BH)max,15.8 MGOe,300 K,,
Nd14.0Fe79.7Cu0.1B6.2 magnet,,,saturation magnetization Ms,1.5 T,,post-sintering thermal treatment 540 °C 2 h,sintered 1020 °C
Nd14.0Fe79.7Cu0.1B6.2 magnet,,,coercive field Hc,756 kA/m,,post-sintering thermal treatment 540 °C 2 h,sintered 1020 °C
Nd14.0Fe79.7Cu0.1B6.2 magnet,,,maximum energy product (BH)max,340 kJ/m3,,post-sintering thermal treatment 540 °C 2 h,sintered 1020 °C
Nd-Fe-B sintered magnets,,,high remanence,∼1.4 T,,,
Nd-Fe-B sintered magnets,,,coercivity,about 1.2 T,,,
Nd-Fe-B sintered magnets,,,coercivity,∼3.0 T,room temperature,,
,,"amorphous cylinders of Ln60Fe30Al10 (Ln = Nd, or Pr)",remanence Br,1300 G 0.13 T,,,
,,"amorphous cylinders of Ln60Fe30Al10 (Ln = Nd, or Pr)",saturation induction density Bs,1500 G 0.15 T,,,
,,,coercivity Hc,3.5 kOe 280 kA/m,,,
,,"amorphous cylinders of Ln60Fe30Al10 (Ln = Nd, or Pr)",maximum magnetic energy product (JH)m,2.4 MGOe,,,
"Nd55−xCoxFe30Al10B5 (x = 10, 15, 20) RE55Al25Co20 (RE = Y, Ce, La, Pr, Nd, Gd, Tb, Dy, Ho and Er) (Nd,Pr)60–70Fe30–20Al10 Nd-Fe-Co-Al",,"Nd60−xFe30Al10Bx (x = 0, 1, 3, 5) Nd50Fe40Si10 ribbons Nd60Fe30Al10 ribbons",coercivity values,lower than 4.44 kOe 355 kA/m,,,
DyF3 EPD-coated magnets,,,coercivity,22.8 kOe,,diffusion,
Dy-free original magnets,1.2 wt.% Dy,,increment in coercivity,more than 6.5 kOe,,,
DyF3 EPD-coated magnets,,,coercivity,16.1,,,
DyF3 EPD-coated magnets,,,maximum coercivity,22.8 kOe,,,
,1.2 wt.% Dy,,increase the coercivity,6.5 kOe,,,
,,,coercivity,approximately 2.4 MA/m,room temperature,,
sintered Nd–Fe–B magnets,heavy rare earth element,,coercivity,1552 kA/m,,,
recycled magnet,,,remanence Br,12.38 kGs,,,
recycled magnet,,,coercivity Hci,24.89 kOe,,,
recycled magnet,,,maximum energy product (BH)max,36.51 MGOe,,,
,,,remanence temperature coefficient α,−0.1155%/K,288–423 K,,
,,,coercivity temperature coefficient β,−0.5099%/K,288–423 K,,
α-Fe/Nd2Fe14B magnets magnets,,,(BH)max,14.9 MGOe,,,
α-Fe/Nd2Fe14B magnets magnets,,,Hc,6.4 kOe,,,
α-Fe/Nd2Fe14B magnets,,annealing amorphous ribbons,(BH)max,10.3 MGOe,,,
α-Fe/Nd2Fe14B magnets,,annealing amorphous ribbons,Hc,4.6 kOe,,,
,,(Nd0.8Ce0.2)2.2Fe14B melt spun ribbons,room temperature intrinsic coercivity Hci,11 kOe,,,
Nd2Fe14B,,,Hci,8.3 kOe,,,
(Nd0.8Ce0.2)2.0Fe14B,,,Hci,10 kOe,,,
(Nd0.8Ce0.2)2.2Fe14B,,melt spun ribbons,Hci,11 kOe,T 300 K,,
(Nd0.8Ce0.2)2.2Fe14B,,melt spun ribbons,(BH),14.3 MGOe,T 300 K,,
Nd2Fe14B,,,Hci,8.3 kOe,T 300 K,,
Nd2Fe14B,,,(BH)max,13.8 MGOe,T 300 K,,
(Nd0.8Ce0.2)2.0Fe14B,,,Hci,10 kOe,T 300 K,,
(Nd0.8Ce0.2)2.0Fe14B,,,(BH)max,11 MGOe,T 300 K,,
(Nd0.8Ce0.2)2.2Fe14B,,,Hci,11 kOe,300 K,,
(Nd0.8Ce0.2)2.2Fe14B,,,(BH)max,14.3 MGOe,300 K,,
(Nd0.8Ce0.2)2.2Fe14B,,,Hci,3.9 kOe,500 K,,
(Nd0.8Ce0.2)2.2Fe14B,,,(BH)max,3.2 MGOe,500 K,,
"(Nd0.8Ce0.2)2Fe14−z(Co, TM)zB + 2.5% ZrC alloy",,,TC,695,,,
"(Nd0.8Ce0.2)2Fe14−z(Co, TM)zB + 2.5% ZrC alloy",,,TC,∼650 K,,,
(Nd0.8Ce0.2)2Fe12(Co1.9 TM0.1)B+2.5% ZrC,,melt-spun ribbons V doped sample,coercivity Hci,10.2 kOe,room temperature,,
(Nd0.8Ce0.2)2Fe12(Co1.9 TM0.1)B+2.5% ZrC,,melt-spun ribbons un-doped sample,Hci,10.2 kOe,room temperature,,
(Nd0.8Ce0.2)2Fe12(Co1.9 TM0.1)B+2.5% ZrC,,melt-spun ribbons Mn,maximum energy product (BH)max,16.6 MGOe,room temperature,,
(Nd0.8Ce0.2)2Fe12(Co1.9 TM0.1)B+2.5% ZrC,,melt-spun ribbons Cr doped,maximum energy product (BH)max,18.7 MGOe,room temperature,,
(Nd0.8Ce0.2)2Fe12Co2B+2.5% ZrC alloy,,,(BH)max,16.2 MGOe,room temperature,,
(Nd0.8Ce0.2)2.4Fe12(Co1.9Cr0.1)B + 2.5% ZrC,,,Hci,16.8 kOe,300 K,,
(Nd0.8Ce0.2)2.4Fe12(Co1.9Cr0.1)B + 2.5% ZrC,,,(BH)max,9.8 kOe,300 K,,
(Nd0.8Ce0.2)2Fe12(Co1.9 TM0.1)B+2.5% ZrC alloys,Cr,,saturation magnetization,16.9 kG,300 K,,
(Nd0.8Ce0.2)2Fe12(Co1.9 TM0.1)B+2.5% ZrC alloys,Cr,,anisotropy field,68.3 kOe,300 K,,
(Nd0.8Ce0.2)2Fe12(Co1.9 TM0.1)B+2.5% ZrC,,melt-spun ribbons Cr,coercivity Hci,8.7,room temperature,,
(Nd0.8Ce0.2)2Fe12(Co1.9 TM0.1)B+2.5% ZrC alloys,V,,saturation magnetization,14.9,300 K,,
(Nd0.8Ce0.2)2Fe12(Co1.9 TM0.1)B+2.5% ZrC alloys,V,,anisotropy field,65,300 K,,
,,,temperature coefficient Br α,−0.1%/°C,,,
,,,temperature coefficient coercivity β,−0.3%/°C,,,
Nd13Fe81−xB6Hfx (x = 0–1.0) alloys,x = 0.5,,coercivity,505 kA/m,450 K,,
Nd13Fe81−xB6Hfx (x = 0–1.0) alloys,,sample without Hf,coercivity,290 kA/m,450 K,,
