Phrase,Frequency
Nd_Fe,1060
Nd_Fe_B,930
0_T,561
0_kOe,428
0_M,363
0_nm,326
0_°C,317
0_%,284
0_kA,277
α_Fe,255
0_MGOe,252
energy_product,240
0_m,221
Fe_Co,199
grain_boundary,196
0_K,193
melt_spun,173
sintered_magnet,153
diffusion_process,145
Fe_B_phase,133
0_kG,129
magnetic_phase,124
maximum_energy_product,123
maximum_energy,123
hot_deformed,122
permanent_magnet,122
0_kJ,117
Nd_rich,115
room_temperature,113
Nd_Fe_B_magnet,113
rare_earth,111
Pr_Fe,106
0_at_._%,96
melt_spinning,86
Nd_Fe_B_phase,86
melt_spun_ribbon,85
Nd_Fe_B_grain,85
(_Nd_Ce_)_Fe,85
0_kJ_/_m_3,82
hot_deformed_magnet,79
Ce_Fe_B,78
H_=_0_kOe,77
0_h,74
0_μ,73
magnetic_field,72
μ_H,72
Pr_Fe_B,70
0_:_0_phase,67
curie_temperature,66
Pr_Cu,66
μ_M,64
diffusion_processed,64
Nd_Cu,63
0_MG_Oe,63
Nd_rich_phase,61
Nd_Fe_B_sintered_magnet,59
temperature_coefficient,58
0_m_/_s,58
Sm_Co,57
coercivity_of_0_T,57
saturation_magnetization,56
0_wt_._%,56
Fe_B_alloy,56
0_wt_%,55
0_mm,55
thin_film,51
coercivity_value,49
0_kA_m_-_1,47
0_μm,47
energy_product_(_BH_),47
H_=_0_kA_/_m,45
grain_boundary_phase,45
wheel_speed,45
α_Fe_phase,45
0_0_nm,45
Co_phase,44
magnetocrystalline_anisotropy,43
coercivity_of_0_kOe,43
(_Nd_Ce_)_Fe_Co_B,43
coercivity_H,43
M_=_0_T,42
Nd_Fe_B_/_α_Fe,41
μ_M_=_0_T,41
Nd_Fe_C,40
~_0_T,40
0_:_0_:_0_phase,40
Sm_Fe,40
0_°_C,39
energy_product_of_0_MGOe,39
grain_boundary_diffusion,38
0_g,38
(_BH_)_=_0_MGOe,38
Pr_Co,38
B_=_0_kG,38
hot_press,36
maximum_energy_product_(_BH_),35
"Nd_,_Dy",35
"Fe_,_Co",35
H_=_0_T,34
annealing_temperature,32
multilayer_film,31
0_s,31
0_%_/_°C,31
rare_earth_element,31
μ_H_=_0_T,30
Fe_/_Nd_Fe_B,30
thick_film,30
α_Fe_/_Nd_Fe_B,29
0_°C_for_0_h,29
RE_Fe_B,29
Nd_content,28
0_kJ_m_-_3,28
Fe_Nd_B,28
coercive_field,28
HDDR_powder,28
(_Nd_Ce_)_Fe_B,28
hot_deformation,28
(_BH_)_=_0_kJ_/_m_3,28
Pr_Co_C,27
"(_Nd_,_Dy_)_Fe_B",27
Dy_Cu,27
about_0_T,27
Co_Zr,26
heat_treatment,26
M_/_M,26
Dy_content,26
RE_rich,26
Fe_nanocomposite,26
0_at_%,26
Co_Fe,26
grain_boundary_diffusion_process,25
ball_milling,25
Nd_Fe_B_alloy,25
"Nd_,_Pr",25
magnetic_anisotropy,25
0_kOe_to_0_kOe,24
remanent_magnetization,24
0_emu,24
Nd_Fe_B_based,24
α_Fe_nanocomposite,24
~_0_%,24
from_0_kOe_to_0_kOe,24
(_B_H_)_=_0_MG_Oe,24
0_emu_/_g,23
T_=_0_K,23
hot_pressed,23
Cu_diffusion,23
Dy_free,22
~_0_nm,22
Nd_Ce_Fe_B,22
Dy_Fe_B,22
0_Oe,22
0_0_°C,22
0_μ_m,22
0_MA_/_m,21
RE_content,21
Co_substitution,21
