phrase,label,relations
"(_Ce_,_Nd_)_Fe_B","((_Ce_,_Nd_)_Fe_B, <Class>)",
"(_Ce_,_Nd_)_Fe_B_hot_deformed_magnet","((_Ce_,_Nd_)_Fe_B_hot_deformed_magnet, <Class>)",
"(_Co_,_Fe_)_magnet","((_Co_,_Fe_)_magnet, <Class>)",
"(_Dy_,_Nd_)_Fe_B","((_Dy_,_Nd_)_Fe_B, <Class>)",
"(_Fe_,_Co_)_B_/_Nd_Fe_B_nanocomposite","((_Fe_,_Co_)_B_/_Nd_Fe_B_nanocomposite, <Class>)",
"(_Fe_,_Co_)_B_magnet","((_Fe_,_Co_)_B_magnet, <Class>)",
"(_Fe_,_Co_)_ribbon","((_Fe_,_Co_)_ribbon, <Shape>)",
"(_Fe_,_Mn_)_B_core","((_Fe_,_Mn_)_B_core, <Shape>)",
"(_Fe_,_TM_)_B_magnet","((_Fe_,_TM_)_B_magnet, <Class>)",
"(_La_,_Ce_)_Fe_B_alloy","((_La_,_Ce_)_Fe_B_alloy, <Class>)",
"(_Nd_,_Ce_)_based_alloy","((_Nd_,_Ce_)_based_alloy, <Class>)",
"(_Nd_,_Ce_)_Fe_B","((_Nd_,_Ce_)_Fe_B, <Class>)",
"(_Nd_,_Ce_)_Fe_B_powder","((_Nd_,_Ce_)_Fe_B_powder, <Shape>)",
"(_Nd_,_Ce_,_Pr_)_Fe","((_Nd_,_Ce_,_Pr_)_Fe, <Class>)",
"(_Nd_,_Dy_)_Fe_B","((_Nd_,_Dy_)_Fe_B, <Class>)",
"(_Nd_,_Dy_)_Fe_B_core","((_Nd_,_Dy_)_Fe_B_core, <Shape>)",
"(_Nd_,_Dy_)_Fe_B_layer","((_Nd_,_Dy_)_Fe_B_layer, <Shape>)",
"(_Nd_,_Dy_)_Fe_B_magnet","((_Nd_,_Dy_)_Fe_B_magnet, <Class>)",
"(_Nd_,_Dy_)_Fe_B_sintered_magnet","((_Nd_,_Dy_)_Fe_B_sintered_magnet, <Class>)",
"(_Nd_,_La_)_Fe_B","((_Nd_,_La_)_Fe_B, <Class>)",
"(_Nd_,_Pr_)_Ce_Fe_M_B","((_Nd_,_Pr_)_Ce_Fe_M_B, <Class>)",
"(_Nd_,_Pr_)_Ce_Fe_M_B_magnet","((_Nd_,_Pr_)_Ce_Fe_M_B_magnet, <Class>)",
"(_Nd_,_Pr_)_Fe_B","((_Nd_,_Pr_)_Fe_B, <Class>)",
"(_Nd_,_Pr_)_Fe_B_phase","((_Nd_,_Pr_)_Fe_B_phase, <Shape>)",
"(_Nd_,_Pr_)_Fe_Co_Nb_B_alloy","((_Nd_,_Pr_)_Fe_Co_Nb_B_alloy, <Class>)",
"(_Nd_,_Pr_)_H","((_Nd_,_Pr_)_H, <Class>)",
"(_Nd_,_Pr_)_H_diffusion","((_Nd_,_Pr_)_H_diffusion, <Treatment>)",
"(_Nd_,_Pr_)_H_powder","((_Nd_,_Pr_)_H_powder, <Shape>)",
"(_Nd_,_Pr_,_Ce_)_Fe_B_melt_spun_powder","((_Nd_,_Pr_,_Ce_)_Fe_B_melt_spun_powder, <Shape>)",
"(_Nd_,_RE_)_Fe_B","((_Nd_,_RE_)_Fe_B, <Class>)",
"(_Nd_,_Tb_)_Fe_B","((_Nd_,_Tb_)_Fe_B, <Class>)",
"(_Pr_,_Nd_)_Fe_B","((_Pr_,_Nd_)_Fe_B, <Class>)",
"(_Pr_,_Nd_)_Fe_B_magnet","((_Pr_,_Nd_)_Fe_B_magnet, <Class>)",
"(_PrNd_,_Tb_)_Fe_B","((_PrNd_,_Tb_)_Fe_B, <Class>)",
"(_R_=_Pr_,_Nd_,_Dy_)_ribbon","((_R_=_Pr_,_Nd_,_Dy_)_ribbon, <Shape>)",
"(_Si_,_Al_)_amorphous_ribbon","((_Si_,_Al_)_amorphous_ribbon, <Shape>)",
"0_,_0_,_0_,_and_0_wt_._%","(0, <Element>), (0, <Element>), (0, <Element>), (0_wt_._%, <Element>)",
"Ce_,_Co","(Ce, <Element>), (Co, <Element>)",
"Ce_,_La","(Ce, <Element>), (La, <Element>)",
"Ce_,_Nd","(Ce, <Element>), (Nd, <Element>)",
"Ce_,_Pr_,_Co","(Ce, <Element>), (Pr, <Element>), (Co, <Element>)",
"Ce_,_Pr_,_Nd","(Ce, <Element>), (Pr, <Element>), (Nd, <Element>)",
"Co_,_Dy","(Co, <Element>), (Dy, <Element>)",
"Dy_,_Nd","(Dy, <Element>), (Nd, <Element>)",
"Dy_,_Tb","(Dy, <Element>), (Tb, <Element>)",
"Dy_,_Tb_,_La_,_Sm_,_Y_,_Pr","(Dy, <Element>), (Tb, <Element>), (La, <Element>), (Sm, <Element>), (Y, <Element>), (Pr, <Element>)",
"Dy_,_Tb_,_Pr_,_Nd","(Dy, <Element>), (Tb, <Element>), (Pr, <Element>), (Nd, <Element>)",
"Dy_,_Y","(Dy, <Element>), (Y, <Element>)",
"Dy_substituted_(_Nd_,_Dy_)_Fe_B","(Dy_substituted_(_Nd_,_Dy_)_Fe_B, <Class>)",
"Fe_,_Co","(Fe, <Element>), (Co, <Element>)",
"Fe_,_Mo","(Fe, <Element>), (Mo, <Element>)",
"Fe_,_Zr_,_B_,_Cu","(Fe, <Element>), (Zr, <Element>), (B, <Element>), (Cu, <Element>)",
"GBDP_of_(_Nd_,_Pr_)_H_powder","(GBDP, <Treatment>), ((_Nd_,_Pr_)_H_powder, <Shape>)",
"La_,_Ce","(La, <Element>), (Ce, <Element>)",
"La_,_Ce_,_Pr","(La, <Element>), (Ce, <Element>), (Pr, <Element>)",
"La_,_Nd","(La, <Element>), (Nd, <Element>)",
"M_=_Ag_,_Si_,_Hf_,_Ga_,_Cu","(M, <Element>), (Si, <Element>), (Hf, <Element>), (Ga, <Element>), (Cu, <Element>)",
"M_=_Co_,_Cu","(M, <Element>), (Co, <Element>), (Cu, <Element>)",
"M_=_Cr_,_Nb_,_Ti_,_V","(M, <Element>), (Cr, <Element>), (Nb, <Element>), (Ti, <Element>), (V, <Element>)",
"M_=_Mo_,_Nb_,_Ta_,_Ti_,_and_Zr","(M, <Element>), (Mo, <Element>), (Nb, <Element>), (Ta, <Element>), (Ti, <Element>), (Zr, <Element>)",
"M_=_Ti_,_H","(M, <Element>), (Ti, <Element>), (H, <QNT>)",
"M_=_Ti_,_V","(M, <Element>), (Ti, <Element>), (V, <Element>)",
"M_=_Ti_,_V_,_Cr_,_Zr","(M, <Element>), (Ti, <Element>), (V, <Element>), (Cr, <Element>), (Zr, <Element>)",
"melt_spun_MRE_(_Fe_,_Co_)_B_ribbon","(melt_spun_MRE_(_Fe_,_Co_)_B_ribbon, <Shape>)",
"MRE_(_Fe_,_Co_)_B","(MRE_(_Fe_,_Co_)_B, <Class>)",
"MRE_(_Fe_,_Co_)_B_magnet","(MRE_(_Fe_,_Co_)_B_magnet, <Class>)",
"Nd_(_Fe_,_Al_)","(Nd_(_Fe_,_Al_), <Class>)",
"Nd_(_Fe_,_Al_)_B","(Nd_(_Fe_,_Al_)_B, <Class>)",
"Nd_(_Fe_,_Co_)_B","(Nd_(_Fe_,_Co_)_B, <Class>)",
"Nd_(_Fe_,_Co_,_Al_)","(Nd_(_Fe_,_Co_,_Al_), <Class>)",
"Nd_(_Fe_,_Co_,_Al_)_B","(Nd_(_Fe_,_Co_,_Al_)_B, <Class>)",
"Nd_(_Fe_,_M_)_B_magnet","(Nd_(_Fe_,_M_)_B_magnet, <Class>)",
"Nd_(_Fe_,_M_)_compound","(Nd_(_Fe_,_M_)_compound, <Class>)",
"Nd_,_Dy","(Nd, <Element>), (Dy, <Element>)",
"Nd_,_Gd","(Nd, <Element>), (Gd, <Element>)",
"Nd_,_La","(Nd, <Element>), (La, <Element>)",
"Nd_,_Mn_,_Si_,_Co_,_Dy_O","(Nd, <Element>), (Mn, <Element>), (Si, <Element>), (Co, <Element>), (Dy_O, <Class>)",
"Nd_,_Pr","(Nd, <Element>), (Pr, <Element>)",
"Nd_,_Pr_rich","(Nd, <Element>), (Pr_rich, <Element>)",
"Nd_,_Sm","(Nd, <Element>), (Sm, <Element>)",
"Nd_,_Y","(Nd, <Element>), (Y, <Element>)",
"Nd_Fe_B_/_Sm_(_Co_,_Fe_)_magnet","(Nd_Fe_B_/_Sm_(_Co_,_Fe_)_magnet, <Class>)",
"Nd_Fe_B_M_(_M_=_Cr_,_Cu_)_nanocomposite_magnet","(Nd_Fe_B_M_(_M_=_Cr_,_Cu_)_nanocomposite_magnet, <Class>)",
"Pr_(_Co_,_Cu_)","(Pr_(_Co_,_Cu_), <Class>)",
"Pr_(_Fe_,_Co_)_B","(Pr_(_Fe_,_Co_)_B, <Class>)",
"Pr_,_Nd_,_Dy","(Pr, <Element>), (Nd, <Element>), (Dy, <Element>)",
"R_(_Fe_,_M_)_compound","(R_(_Fe_,_M_)_compound, <Class>)",
"R_(_Fe_,_Ti_)","(R_(_Fe_,_Ti_), <Class>)",
"R_=_La_,_Ce","(R, <Element>), (La, <Element>), (Ce, <Element>)",
"R_=_Pr_,_Pr_+","(R, <Element>), (Pr, <Element>), (Pr_+, <Element>)",
"R_=_Y_,_La_,_Pr_,_Nd_,_Sm","(R, <Element>), (Y, <Element>), (La, <Element>), (Pr, <Element>), (Nd, <Element>), (Sm, <Element>)",
"R_=_Y_,_Pr","(R, <Element>), (Y, <Element>), (Pr, <Element>)",
"R_Fe_B_(_R_=_Nd_,_Ce_)","(R_Fe_B_(_R_=_Nd_,_Ce_), <Class>)",
