Pattern,Relations
<QNT>_of_<Class>_increased_from_<Value>_at_<Condition>_to_<Value>_at_<Condition>,"[(1, 0), (0, 2), (2, 3), (0, 4), (4, 5)]"
<QNT>_of_<QNT>_=_<Value>_of_<Class>,"[(0, 1), (1, 2), (3, 0)]"
<QNT>_(_<QNT>_=_<Value>_),"[(0, 1), (1, 2)]"
<QNT>_<QNT>_<Value>,"[(0, 1), (1, 2)]"
<QNT>_(_<QNT>_)_and_<QNT>_(_<QNT>_)_be_found_to_be_<Value>_and_<Value>,"[(0, 1), (1, 4), (2, 3), (3, 5)]"
<QNT>_increases_from_<Value>_for_<Class>_to_<Value>_for_<Class>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
<QNT>_increased_from_<Value>_for_<Class>_to_<Value>_for_<Class>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
<QNT>_increases_from_<Value>_in_<Class>_to_<Value>_in_<Class>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
<QNT>_increased_from_<Value>_in_<Class>_to_<Value>_in_<Class>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
<QNT>_decreases_from_<Value>_for_<Class>_to_<Value>_for_<Class>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
<QNT>_decreased_from_<Value>_for_<Class>_to_<Value>_for_<Class>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
<QNT>_decreases_from_<Value>_in_<Class>_to_<Value>_in_<Class>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
<QNT>_decreased_from_<Value>_in_<Class>_to_<Value>_in_<Class>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
<QNT>_(_<QNT>_)_of_<Value>_(_<Value>_),"[(0, 1), (1, 2), (2, 3)]"
<QNT>_(_<QNT>_)_of_<Value>,"[(0, 1), (1, 2)]"
<QNT>_of_<Class>_increases_from_<Value>_at_<Condition>_to_<Value>_at_<Condition>,"[(1, 0), (0, 2), (2, 3), (0, 4), (4, 5)]"
<QNT>_of_<Class>_increased_from_<Value>_at_<Condition>_to_<Value>_at_<Condition>,"[(1, 0), (0, 2), (2, 3), (0, 4), (4, 5)]"
"<QNT>_of_<Value>_,_<Value>_,_and_<Value>","[(0, 1), (0, 2), (0, 3)]"
<QNT>_and_<QNT>_be_<Value>_and_<Value>,"[(0, 2), (1, 3)]"
"<QNT>_,_<QNT>_,_and_<QNT>_be_<Value>_,_<Value>_,_and_<Value>","[(0, 3), (1, 4), (2, 5)]"
<QNT>_and_<QNT>_for_<Class>_vary_from_<Value>_and_<Value>_at_<Condition>_to_<Value>_and_<Value>_at_<Condition>,"[(2, 0), (2, 1), (0, 3), (1, 4), (3, 5), (4, 5), (0, 6), (1, 7), (6, 8), (7, 8)]"
"<QNT>_(_<QNT>_)_of_<Class>_be_<Value>","[(0, 1), (2, 0), (1, 3)]"
<QNT>_(<QNT>_)_varies_from_<Value>_for <Class>_to_<Value>_for_<Class>,"[(0, 1), (1, 2), (2, 3), (1, 4), (4, 5)]"
<QNT>_between_<Value>_and_<Value>,"[(0, 1), (0, 2)]"
<QNT>_of_<Value>_be_obtained_at_<Condition>,"[(0, 1), (1, 2)]"
<Class>_shows_<QNT>_=_<Value>_and_<QNT>_=_<Value>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
<QNT>_reaches_as_high_as_<Value>,"[(0, 1)]"
<QNT>_up_to_<Value>,"[(0, 1)]"
<QNT>_initially_increases_from_<Value>_to_<Value>,"[(0, 1), (0, 2)]"
<QNT>_reduces_drastically_to_<Value>,"[(0, 1)]"
"<Class>_with_<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_and_<QNT>_=_<Value>","[(0, 1), (1, 2), (0, 3), (3, 4), (0, 5), (5, 6)]"
"<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_and_<QNT>_=_<Value>_in_<Class>","[(0, 1), (2, 3), (4, 5), (6, 1), (6, 2), (6, 3)]"
<QNT>_of_<Class>_be_recorded_as_high_as_<Value>,"[(1, 0), (1, 2)]"
<Condition>_range_of_<Condition>_to_<Condition>,"[(0, 1), (0, 2)]"
<Condition>_up_to_<Condition>,"[(0, 1)]"
<QNT>_gradually_decreases_to_<Value>_at_<Class>_and_<Value>_at_<Class>,"[(0, 1), (1, 2), (0, 3), (3, 4)]"
"<QNT>_for_<Class>_be_<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_<QNT>_=_<Value>","[(1, 2), (2, 3), (1, 4), (4, 5), (1, 6), (6, 7)]"
<Shape>_<Treatment>_at_<Treatment>,"[(0, 1), (1, 2), (2, 3)]"
<QNT>_of_<Class>_be_<Value>,"[(1, 0), (0, 2)]"
<QNT>_for_<Class>_be_<Value>,"[(1, 0), (0, 2)]"
<QNT>_in_<Class>_be_<Value>,"[(1, 0), (0, 2)]"
