label,phrase,frequency
Class,Nd_Fe_B,32
Class,magnet,11
Class,(_Nd_Ce_)_Fe_B,10
Class,permanent_magnet,10
Class,magnet,9
Class,alloy,9
Class,Nd_Fe_B_magnet,8
Class,Nd_Fe_B,8
Class,SrFe_O,7
Class,Fe_Co,7
Class,Nd_Fe_B_Nb_Ga_alloy,6
Class,Nd_Fe_B_phase,6
Class,(_Nd_Ce_)_Fe_Co_B_+_0_%_ZrC,6
Class,sintered_magnet,6
Class,Nd_Fe_B_sintered_magnet,6
Class,SrAl_Fe_O,5
Class,recycled_magnet,5
Class,(_Nd_Ce_)_Fe_Co_B,5
Class,sintered_magnet,5
Class,(_Nd_Ce_)_Fe_Al_Cu_B,4
Class,sintered_Nd_Fe_B_magnet,4
Class,(_Nd_Dy_)_Fe_B,4
Class,Ce_Fe_B,4
Class,Fe_Co,4
Class,hot_deformed_magnet,4
Class,SmCo,4
Class,x_=_0_alloy,3
Class,waste,3
Class,Nd_Fe_B_alloy,3
Class,Nd_Fe_B_Hf_alloy,3
Class,α_Fe,3
Class,waste_magnet,3
Class,alloy,3
Class,Nd_Fe_Al,3
Class,hot_deformed_Nd_Fe_B_magnet,3
Class,(_Nd_Ce_)_Fe_Co_B_+_0_%_ZrC_alloy,3
Class,R_Fe_B,3
Class,Nd_Fe_B_based_magnet,3
Class,hot_pressed,3
Class,Nd_Ce,3
Class,Fe_B,3
Class,La_Fe_B,3
Class,TbF_coated_sintered_Nd_Fe_B_magnet,2
Class,magnetic_material_Nd_Fe_B,2
Class,M_type_hexaferrite,2
Class,sintered_Nd_Ce_Fe_B_magnet,2
Class,Pr_Al_Ni_Cu,2
Class,as_hot_deformed_magnet,2
Class,Nd_Al_Ni_Cu,2
Class,sintered_NdFeB_magnet,2
Class,nanocomposite,2
Class,Fe_B_Nd_Gd_Nb_Si_rod_magnet,2
Class,Fe_B_Nd_Nb_Si,2
Class,Fe_B_Nd_Nb_alloy,2
Class,Fe_B_Nd_Nb_rod_magnet,2
Class,Fe_M_B_Nd_Nb,2
Class,hard_magnetic_phase_Nd_Fe_B,2
Class,rare_earth_metal,2
Class,Nd_Fe_B_Hf_(_x_=_0_0_)_alloy,2
Class,(_Nd_Ce_)_Fe_(_Co_TM_)_B_+_0_%_ZrC,2
Class,α_Fe_/_Nd_Fe_B_nanocomposite_magnet,2
Class,α_Fe_/_Nd_Fe_B_magnet,2
Class,DyF_EPD_coated_magnet,2
Class,Fe_B,2
Class,Pr_Cu_diffusion_processed_magnet,2
Class,Nd_Cu_diffusion_processed_magnet,2
Class,pure_Nd_Fe_B,2
Class,0_wt_%_Dy_doped_Nd_Fe_B_sintered_magnet,2
Class,hot_pressed_magnet,2
Class,die_upset_magnet,2
Class,RE_Fe_B,2
