Pattern,Phrase,Base_phrase,Relations,Frequency
"<QNT>_of_<Value>_,_<Value>_,_and_<Value>","(_B_H_)_of_0_kA_/_m_,_0_T_,_and_0_kJ_/_m_3","((_B_H_), 0_kA_/_m, 0_T, 0_kJ_/_m_3)","(0, 1), (0, 2), (0, 3)",1
"<QNT>_of_<Value>_,_<Value>_,_and_<Value>","(_BH_)_of_0_kA_/_m_,_0_T_,_and_0_kJ_/_m_3","((_BH_), 0_kA_/_m, 0_T, 0_kJ_/_m_3)","(0, 1), (0, 2), (0, 3)",1
<QNT>_in_<Shape>,"anisotropy_field_in_(_Nd_,_Pr_)_Fe_B_region","(anisotropy_field, (_Nd_,_Pr_)_Fe_B_region)","(1, 0)",1
<QNT>_of_<Class>,"anisotropy_field_of_(_Nd_,_Dy_)_Fe_B","(anisotropy_field, (_Nd_,_Dy_)_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,"anisotropy_field_of_(_Nd_,_Pr_)_Fe_B_phase","(anisotropy_field, (_Nd_,_Pr_)_Fe_B_phase)","(1, 0)",3
"<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_and_<QNT>_=_<Value>_in_<Shape>","B_=_0_kG_,_H_=_0_kOe_,_and_energy_product_(_BH_)_=_0_MGOe_in_ribbon","(B, 0_kG, H, 0_kOe, energy_product_(_BH_), 0_MGOe, ribbon)","(0, 1), (2, 3), (4, 5), (6, 1), (6, 2), (6, 3)",1
<QNT>_increases_from_<Value>_in_<Class>_to_<Value>_in_<Class>,"coercivity_increases_from_0_Oe_in_SrFe_O_to_0_,_0_Oe_in_SrAl_Fe_O","(coercivity, 0_Oe, SrFe_O, 0_,_0_Oe, SrAl_Fe_O)","(0, 1), (1, 2), (0, 3), (3, 4)",1
"<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_and_<QNT>_=_<Value>_in_<Element>","J_=_0_T_,_H_=_0_kA_/_m_,_and_(_BH_)_=_0_kJ_/_m_3_in_Pr","(J, 0_T, H, 0_kA_/_m, (_BH_), 0_kJ_/_m_3, Pr)","(0, 1), (2, 3), (4, 5), (6, 1), (6, 2), (6, 3)",1
"<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_and_<QNT>_=_<Value>_in_<Class>","J_=_0_T_,_H_=_0_kA_/_m_,_and_(_BH_)_=_0_kJ_/_m_3_in_Pr_Fe_Ti_B_alloy","(J, 0_T, H, 0_kA_/_m, (_BH_), 0_kJ_/_m_3, Pr_Fe_Ti_B_alloy)","(0, 1), (2, 3), (4, 5), (6, 1), (6, 2), (6, 3)",1
<QNT>_of_<Class>,"maximum_energy_product_of_(_Nd_,_Dy_)_Fe_B","(maximum_energy_product, (_Nd_,_Dy_)_Fe_B)","(1, 0)",1
<QNT>_of_<Value>,"maximum_value_of_0_,_0_Oe","(maximum_value, 0_,_0_Oe)","(0, 1)",1
"<Class>_with_<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_and_<QNT>_=_<Value>","melt_spun_(_Nd_Pr_)_(_Fe_Co_)_Nb_B_alloy_with_H_=_0_kA_/_m_,_J_=_0_T_,_and_(_BH_)_=_0_kJ_/_m_3","(melt_spun_(_Nd_Pr_)_(_Fe_Co_)_Nb_B_alloy, H, 0_kA_/_m, J, 0_T, (_BH_), 0_kJ_/_m_3)","(0, 1), (1, 2), (0, 3), (3, 4), (0, 5), (5, 6)",1
